id,x,y,gender
aim,-0.952499448455046,-0.9524944070046453,female
ali,0.06967195033390067,-0.9985625022421194,female
ast,-0.30853423361232524,-0.8538315961899745,female
cha,-0.274458904261262,-0.8120917843629736,female
cla,-0.6197549878355402,-0.6197885398329381,female
dia,0.13608922031693793,0.12170393917741018,female
gil,-0.44316085761101864,-0.9205669708530928,male
jus,-0.09815083540460484,-0.9580056514413744,male
kev,-0.14381071304277732,-0.3170170154481196,male
rau,-0.38269995111500577,-0.9578796566075196,male
sar,-0.5114211299808822,-0.9923943336711708,female
shl,-0.10599530764235804,-0.9886243700901485,female
stn,-0.4006387335042884,-0.9991473065757843,male
ter,-0.6881983299144872,-0.9849797681889249,female
tru,-0.19006233344079193,-0.9536030812277724,male
ace,0.8852511987687761,-0.9975100558087415,female w/o transcripts
all,0.16137509685352142,-0.9978010605466237,female w/o transcripts
fra,0.3757595075477178,-0.998345816762027,female w/o transcripts
jeb,-0.9965388255717682,-0.9965348267734473,male w/o transcripts
jes,-0.4849603446785777,-0.6147609218177406,female w/o transcripts
sho,-0.18772609559855796,-0.8949957314783222,female w/o transcripts
apr,-0.2725864678894602,-0.9992165829849413,female w/o transcripts
bra,-0.5297302308677886,-0.9175016092643481,male w/o transcripts
brt,0.4528531668677278,-0.03011361032204779,female w/o transcripts
dev,-0.21873440467717398,-0.9789874834355601,male w/o transcripts
emi,-0.6023653340752855,-0.9726065565337273,female w/o transcripts
geo,-0.8218054192818187,-0.9253569677593877,male w/o transcripts
mit,-0.9714080094245147,-0.971377964488903,male w/o transcripts
bri,0.16813450140514574,-0.29838560472038955,male w/o transcripts
don,0.21357400853497716,-0.9977995192608689,male w/o transcripts
eth,-0.6941417187867087,-0.9994000496299853,male w/o transcripts
gre,-0.005164003445385701,-0.5493296379939876,male w/o transcripts
jac,-0.09748157323409251,-0.9846044690685547,male w/o transcripts
kar,0.3388923941076093,-0.8701913425561439,female w/o transcripts
pet,0.23922646531018393,-0.968943908066098,male w/o transcripts
rem,-0.9901669848985436,-0.990080447156178,male w/o transcripts
